X, Y
3893, 5408
3897, 5400
3900, 5385
3901, 5370
3901, 5355
3899, 5340
3895, 5330
3887, 5324
3879, 5320
3869, 5320
3859, 5320
3849, 5323
3838, 5330
3829, 5336
3821, 5339
3817, 5344
3820, 5337
-1, -1
3999, 5146
4001, 5153
4002, 5162
4003, 5172
4006, 5186
4007, 5203
4008, 5224
4008, 5248
4008, 5271
4010, 5294
4012, 5318
4013, 5340
4013, 5362
4015, 5379
4014, 5392
4012, 5403
4012, 5412
4012, 5419
-1, -1
4117, 5326
4122, 5318
4122, 5310
4122, 5302
4115, 5303
4108, 5308
4099, 5313
4088, 5319
4078, 5325
4067, 5329
4057, 5336
4050, 5340
4045, 5346
4048, 5351
4053, 5356
4060, 5361
4068, 5368
4077, 5374
4088, 5381
4099, 5386
4112, 5393
4119, 5394
4126, 5397
4134, 5395
4137, 5382
-1, -1
4383, 5341
4382, 5334
4380, 5341
4380, 5350
4380, 5363
4380, 5380
4381, 5400
4382, 5421
4382, 5442
4384, 5464
4386, 5486
4388, 5506
4389, 5523
4390, 5537
4390, 5548
4392, 5558
4392, 5565
-1, -1
4393, 5372
4393, 5361
4393, 5351
4395, 5343
4401, 5335
4411, 5332
4421, 5330
4433, 5330
4444, 5333
4454, 5338
4461, 5344
4467, 5352
4470, 5360
4468, 5370
4464, 5381
4456, 5392
4446, 5402
4436, 5411
4427, 5420
4417, 5426
4411, 5432
4404, 5433
4409, 5429
4416, 5426
-1, -1
4549, 5359
4549, 5369
4547, 5379
4547, 5390
4546, 5400
4546, 5412
4549, 5420
4552, 5427
4561, 5432
4569, 5434
4577, 5433
4587, 5432
4597, 5425
4604, 5417
4614, 5409
4618, 5398
4621, 5388
4621, 5379
4618, 5369
4608, 5362
4599, 5360
4589, 5362
4579, 5364
4571, 5367
4563, 5370
4556, 5375
4551, 5379
4561, 5378
-1, -1
4716, 5328
4712, 5338
4709, 5346
4705, 5358
4703, 5370
4703, 5381
4704, 5392
4710, 5402
4717, 5410
4722, 5417
4730, 5421
4738, 5423
4745, 5423
4755, 5419
4764, 5414
4774, 5406
4780, 5398
4785, 5390
4788, 5379
4789, 5368
4789, 5360
4784, 5349
4776, 5344
4768, 5338
4757, 5334
4746, 5333
4737, 5333
4726, 5333
4718, 5333
4710, 5324
-1, -1
4873, 5339
4869, 5344
4865, 5355
4864, 5363
4864, 5371
4863, 5381
4864, 5392
4864, 5403
4865, 5413
4868, 5422
4868, 5431
4869, 5437
4873, 5432
4877, 5423
4882, 5412
4889, 5399
4897, 5384
4907, 5369
4918, 5354
4928, 5341
4938, 5330
4948, 5321
4955, 5311
4965, 5301
4974, 5293
4983, 5285
-1, -1
5089, 5417
5093, 5421
5097, 5428
5101, 5435
5106, 5442
5110, 5446
5114, 5450
-1, -1
1170, 5987
1171, 5980
1167, 5988
1164, 5995
1161, 6005
1157, 6019
1151, 6034
1147, 6048
1144, 6066
1141, 6079
1141, 6096
1140, 6109
1142, 6120
1145, 6130
1150, 6139
1154, 6146
1161, 6150
1169, 6153
1177, 6153
1187, 6152
1197, 6148
1206, 6143
1216, 6134
1226, 6123
1233, 6110
1242, 6095
1248, 6080
1251, 6062
1253, 6045
1253, 6027
1253, 6012
1251, 5998
1247, 5988
1242, 5980
1234, 5975
1222, 5975
1212, 5975
1204, 5978
1197, 5981
1189, 5985
1183, 5988
1191, 5988
1210, 5986
-1, -1
